Presentation Title,Description or Abstract,Organization1,Organization1_id,Organization2,Organization2_id,Organization3,Organization3_id,Organization4,Organization4_id,Organization5,Organization5_id,Organization6,Organization6_id,Organization7,Organization7_id,SustainabilityTopic1,SustainabilityTopic2,SustainabilityTopic3,AcademicDiscipline1,OfficeDepartment1,Tags,PresentationDate,ConferenceName,PresType,Author1_Name,Author1_Title,Author1_Org,Author1_OrgID,Author2_Name,Author2_Title,Author2_Org,Author2_OrgID,Author3_Name,Author3_Title,Author3_Org,Author3_OrgID,Author4_Name,Author4_Title,Author4_Org,Author4_OrgID,Author5_Name,Author5_Title,Author5_Org,Author5_OrgID,Author6_Name,Author6_Title,Author6_Org,Author6_OrgID,Author7_Name,Author7_Title,Author7_Org,Author7_OrgID,Author8_Name,Author8_Title,Author8_Org,Author8_OrgID,File1,File2,File3,File4
Southwestern University Campus as a Living Laboratory,"As a small liberal arts school in the middle of conservative Central Texas, Southwestern provides a unique example of a case study for increasing the sustainability of an institution of higher education. After former president Jake B. Schrum signed the Talloires Declaration, it was left up to staff, faculty, and, above all else, the students to hold the university accountable for its claimed dedication to sustainability. In recent years, the Southwestern community has led a number of efforts to transform the campus into a more socially and environmentally conscious place. The switch to 100% wind energy; the creation of the Green Fund as a grant opportunity for sustainable projects; the funding for a Student Sustainability Coordinator position; and the earning of a Silver rating from the STARS program are only a few of the ways the community has showed its dedication to sustainability in the past six years. As the state of the world changes and the validity of environmental and social concerns are challenged by our leaders, the importance of community-driven initiatives has only increased. Analyzing Southwestern's struggles and accomplishments as a case study on how students have the power to shift campus culture and create a sustainable environment only strengthens the argument that there is power in numbers to achieve noble goals.",Southwestern University,3154,,,,,,,,,,,,,Campus Engagement,Coordination & Planning,,,,living labs,10/16/2017,AASHE,Poster,Keara Hudler,Student Sustainability Coordinator,Southwestern University,3154,Simone Yoxall,"Student Research Assisstant, Environmental Studies Department",Southwestern University,3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leveraging Living Building Challenge Standards across Campus Operations,"How do you show faculty, staff and students that a building is alive and empower them to keep it healthy? As the most stringent green building certification in the world, the Living Building Challenge TM (LBC) requires buildings to embody ecologically restorative design and operational performance. Embracing LBC in one building inevitably changes operational mindsets and practices across campus. This session will showcase the experiences of two institutions that took the plunge to design and operate a building to LBC standards, and the ongoing journey to educate, engage and inform the campus community to contribute to successful building performance. Hampshire College will share operational and engagement lessons learned from their formative building, the R.W. Kern Center, completed in April 2016. Learn how the LBC process has made Hampshire better at owning and operating campus buildings. Georgia Institute of Technology, with its Living Building at Georgia Tech project completing design development, will detail an early engagement approach that encourages operational staff to use existing campus facilities to test 'state of the shelf' as well as alternative technologies and operations and maintenance practices prior to implementation in this new project. A specific focus will also be given to occupant engagement best practices from design through occupancy and how to leverage the LBC criteria to improve sustainable operations standards across the campus portfolio.",Georgia Institute of Technology,1109,Hampshire College,3276,,,,,,,,,,,Buildings,Campus Engagement,,,,"living buildings,occupant engagement",10/17/2017,AASHE,Presentation,Anne Rogers,Associate Director,Georgia Institute of Technology,1109,Todd Holland,Projects and Operations Manager,Hampshire College,3276,,,,,,,,,,,,,,,,,,,,,,,,,1445_Holland_2307.pdf,,,
Instituting Plastic Wrap Recycling in a University Setting: A Case Study,"Since its creation in 1995, the MUSC Recycling Department has grown into a massive operation serving the recycling needs of over 14,000 FTE employees in 131 buildings including confidential paper shredding. To go beyond our traditionally recyclable streams (i.e. paper, plastic, glass, metal) we are currently in the process of setting up programs to divert soft plastics like plastic bags and plastic wraps. This session will explore different programs we have instituted at MUSC to collect and divert plastic wrap. One example of this is 'blue wrap': a material used to wrap clean medical equipment and tools before use. This cloth-like material is actually #5 plastic and can be recycled. To start recycling blue wrap, we worked together with clinical staff and implemented this program 3 years ago in two locations. We collect blue wrap from these locations, bale it, and have it picked up by our local recycler, Sonoco. Clear plastic, used to package scrubs, are also collected from 3 clinical areas in a program starting two years ago. A more universal example is consumer plastic bags (#4 plastic). With the help of Moore Recycling and Associates, we are piloting public drop off locations for plastic bags on campus. From this case study we hope other universities would be better prepared to start plastic bag recycling programs of their own. We hope that collecting soft plastics will also help to keep them out of our recycling bins and MRFs.",Medical University of South Carolina,3315,,,,,,,,,,,,,Waste,Coordination & Planning,,,,"plastics,plastic bags,recycling",10/16/2017,AASHE,Poster,John Brooker,Sustainability Communications Specialist,Medical University of South Carolina,3315,Christine von Kolnitz,Sustainability Manager,Medical University of South Carolina,3315,,,,,,,,,,,,,,,,,,,,,,,,,1500_Brooker_2443.pdf,,,
The Drivers Behind Edible Food Recovery Programs at Institutions of Higher Education,"Of the blemishes on the American food system, food waste is one of those paradoxical issues that somehow exists in the midst of a well-documented environmental and food security crisis. What is being done to tackle these problems? Enter edible food recovery programs. With known benefits, these programs are beneficial to people and the earth--so why don't all institutions run them? This interactive session will examine six drivers behind institutions' adoption of edible food recovery programs, drawing on survey data collected from 165 AASHE member institutions. Brandon and Danielle will share their research and recent experience launching an edible food recovery program at Messiah College. Time and space will also be provided for participants to engage with the issue of starting and sustaining an edible food recovery program at their own institution, including discussion of viability, strategies, and common challenges.",Messiah College,3480,,,,,,,,,,,,,Food & Dining,Waste,,,,"food recovery,food waste",10/15/2017,AASHE,Presentation,Danielle Chun,,Messiah College,3480,Brandon Hoover,Director of Sustainability,Messiah College,3480,,,,,,,,,,,,,,,,,,,,,,,,,1515_Chun.pptx,,,
How to Expand a Recycling Program for Future Years,"With a barren desert, no political will to implement policy nor financial incentive to push Nevadans to recycle, recycling in Nevada is virtually nonexistent. Currently, due to low landfill tipping fees and lack of waste diversion laws, there is no financial incentive for recycling. In fact, UNLV experiences a net loss from recycling. This past semester, the UNLV VP of Finance granted the Student Sustainability Council twelve new recycling bins, upon convincing him the need to invest in sustainability and potentially, an Office of Sustainability. The plan is to strategically integrate these recycling bins on campus grounds as an ongoing project as well as requesting for new bins each semester. Looking into dual recycling bins with both recycling and trash options, the Council's objective is to decrease the amount of existing trash cans, thereby increasing recycling bins and thus making recycling more accessible. Through tabling events, an aggressive marketing campaign and outreach, can the Council get insight into student demand. The creative messaging will paint the school in recycling propaganda. For outreach, the Council is collaborating with social activist groups for a gender-neutral clothing swap and drive for homeless LGBTIQ youth, as well as creating informative workshops about socio-economic issues and global sustainability, tackling social sustainability and waste reduction.",University of Nevada Las Vegas,3649,,,,,,,,,,,,,Waste,Campus Engagement,,,,recycling,10/16/2017,AASHE,Poster,Amber Mixson,Outreach Coordinator,University of Nevada Las Vegas,3649,Cielomina Gumabon,Co- Outreach Coordinator,University of Nevada Las Vegas,3649,,,,,,,,,,,,,,,,,,,,,,,,,1500_Mixson_2778.pdf,,,
Models for Collaborative and Implementable Pan-Campus Sustainability Plans,"Taking sustainability to the next level, for many higher education institutions, requires a strategic, long-range, and comprehensive sustainability plan. The process by which you develop content, engage the campus community and create buy-in with key decision-makers around a sustainability plan determines a plan's future implementation success. Representatives at three research institutions - University of North Carolina at Chapel Hill, Georgia Institute of Technology, and North Carolina State University - recently completed the process to create new sustainability plans and will share three different approaches to achieve success in this process. The learning outcomes for this interactive, advanced session include: how to read your campus landscape and assess programmatic strengths pre-planning; how to identify and best engage key decision-makers; how to make a plan live and achieve implementation success; how to communicate before, during and after the plan development process; and how to develop relevant outcomes and metrics for ongoing reporting.",Georgia Institute of Technology,1109,North Carolina State University,3655,,,,,,,,,,,Coordination & Planning,Campus Engagement,Public Engagement,,,"sustainability plans,planning",10/17/2017,AASHE,Presentation,Anne Rogers,Associate Director,Georgia Institute of Technology,1109,Tracy Dixon,Sustainability Director,North Carolina State University,3655,,,,,,,,,,,,,,,,,,,,,,,,,0830_Dixon_2177.pdf,,,
"Carbon Pricing & Higher Ed: Internal Carbon Fees, Using Shadow Prices for Life Cycle Analysis, & Engaging Beyond the Campus","This interactive workshop will examine different models for internal carbon pricing, including models adopted by Yale, Vassar and Swarthmore. We will cover revenue neutral prices, prices that generate funds for sustainability and incorporating shadow prices on GHG emissions into life cycle cost analysis. We will explore the role of higher education in national carbon pricing efforts, including the 'Put a Price on It' campaign and how college and university presidents are working with students to lead on this issue. Using case studies from higher education and businesses that already have implemented internal carbon pricing, we will explore the benefits of, and challenges involved in, incorporating carbon pricing into your program. Also covered: how to build campus support and buy-in for carbon pricing, how it can be used as an educational tool, and as a potential internal funding source. We will support attendees in developing a plan to explore carbon pricing at their home institution. The workshop will cover: * Economics of carbon pricing * Carbon fees vs.cap and trade * Using campus carbon pricing to fund sustainability * How carbon pricing can help you engage beyond the campus * Model & Pilot - use the microcosm of the campus to model different pricing policies * A look at three different approaches to carbon pricing: Vassar, Yale and Swarthmore * Carbon pricing endorsement campaigns * Shadow prices as part of life cycle cost analysis * Ways to seek buy-in",Swarthmore College,3879,Yale University,3678,,,,,,,,,,,Air & Climate,Coordination & Planning,Public Engagement,,,carbon pricing,10/18/2017,AASHE,Presentation,Aurora Winslade,Director of Sustainability,Swarthmore College,3879,Casey Pickett,Director of the Carbon Charge,Yale University,3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engaging Partners in Source Reduction,"40% of food produced in the U.S. is lost or wasted each year (FAO, 2014). Through data capture, staff training and guest education, University of California, Irvine (UCI) Hospitality & Dining in conjunction with their dining partner, Aramark, divert food waste from landfills and minimize food waste generated. In addition to diverting over 95% of food waste from UCI's dining halls from landfills, UCI and Aramark have engaged in several programs designed to identify key areas in operations to minimize waste and to engage guests in reducing food waste. Through the use of tools such as LeanPath to record food waste, Aramark is able to precisely measure causes of food loss and waste. Using this information, the dining team can focus training and develop new procedures to target top contributing factors for food waste. Combining this data with a 4-week waste study of UCI's largest dining hall, The Anteatery, which serves 6,000 meals a day, UCI Hospitality & Dining and Aramark have also identified standard waste composition between pre-consumer and post-consumer waste. Through programs such as 'Wiping Out Waste' and 'Love Your Food, Don't Waste It,' Green Captains and other student Fellows engage with guests on specific actions they can take to reduce post-consumer food waste.",Aramark Higher Education,3691,,,,,,,,,,,,,Campus Engagement,Food & Dining,Waste,,,food waste,10/17/2017,AASHE,Presentation,Tyson Monagle,Marketing Coordinator,Aramark Higher Education,3691,Jenna Hagerich,"Director, Consumer Engagement",Aramark Higher Education,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Outreach: Creating a Culture of Sustainability in all Stakeholders at Arizona State University,"Arizona State University is committed to being a leader in all areas of sustainability in Higher Education. A vital role in accomplishing this is to create awareness, educate, and integrate sustainable practices and behaviors to all entities on campus. ASU's University Sustainability Practices and Aramark's Sun Devil Dining relay sustainability culture to campus audiences through ASU's Green Devil Network, a sustainability professional development program targeted for staff, and SDD's Green Captain Program, an environmental engagement program for culinary staff. Using a top down system of transferring knowledge through a multi stakeholder sustainability platform, the Green Devil Network and the Green Captain Program engage the campus community in current sustainability initiatives and opportunities happening around campus. These two green teams provide a support system for implementations of new sustainability programming across their department/location through peer-to-peer education, with guidance from the Program/Network leaders. Join us in discussing how to incentivize and promote campus wide sustainable behaviors beyond the core university sustainability foundation.",Arizona State University,4531,Aramark Higher Education,3691,,,,,,,,,,,Campus Engagement,Food & Dining,,,Dining Services,"peer-to-peer,behavior change,professional development,on-campus collaboration,campus culture",10/16/2017,AASHE,Poster,Lesley Forst,"Program Coordinator, Sr., University Sustainability Practices",Arizona State University,4531,Krista Hicks,Sustainability Manager,Aramark Higher Education,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compost and Collaboration: Reaching Zero Waste at UCI in Dining Commons and Residence Halls,"The University of California system and UC Irvine have committed to reaching Zero Waste, or 95% diversion from landfill by 2020. In 2016, UCI reached 83% diversion, the highest rate in the system. Food waste composting in dining commons and residence halls is a key aspect of our campus solid waste plan. Compost on campus was the result of strategic collaboration and teamwork both behind the scenes and via public education campaigns among UCI Facilities Management, Hospitality & Dining and Aramark, and Housing. Facilities will share about our waste-to-energy food waste compost program. Dining presenters will share about the creation of the first daily-user Zero Waste dining facility in the UC system and how they now maintain a Zero Waste facility serving 36,000 meals a week. Housing presenters will share about the introduction of compost bins into the apartment and communal kitchens of UCI's 6 residential communities serving 9,000 residents. Each presenter will share best practices for infrastructure planning as well as community building and student and staff engagement for sustainability literacy and behavior change. These presenters worked along with dining commons management, Housing staff, and student representatives to collectively train over 300 professional and 300 student staff, conduct peer-to-peer waste minimization education, create student and employee engagement materials, and conduct waste assessments to achieve Zero Waste.",UC Irvine,8149,Aramark Higher Education,3691,,,,,,,,,,,Waste,Campus Engagement,Food & Dining,,,"zero waste,compost,food waste,residence halls",10/17/2017,AASHE,Presentation,Anne Krieghoff,Facilities Management Sustainability Manager,UC Irvine,8149,Tyson Monagle,Marketing Coordinator,Aramark Higher Education,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campus Gardens: Increasing Sustainability and Lowering Food Insecurity,"In this session, we will focus on the role campus gardens can play in educating faculty, students, and staff about sustainable food systems as well as their role in alleviating food insecurity both on and off campus. We will draw on our experience establishing a campus garden at West Chester University in March of 2015. The effort was led by two faculty members; however, students were integral to the garden design process, construction, and continued maintenance. Our garden also functions through a partnership with the Pennsylvania Horticulture Society's (PHS) City Harvest Program. City Harvest supports over 100 community gardens in Philadelphia and the surrounding region with the goal of expanding access to healthy and sustainably produced fruits and vegetables. Each Spring break a group of West Chester University students spend their week working with PHS to plant seedlings to distribute to the community gardens, they help clean up existing gardens, and they help construct new garden beds. In return, we receive a portion of the seedlings and other supplies PHS providers to community garden participants. Throughout the growing season, we use the garden to teach the campus community about organic gardening practices, seasonality, and native plants. We then donate the bulk of our harvest to our local food pantry and our on-campus resource pantry to address hunger among our students and in the surrounding community.",West Chester University of Pennsylvania,3773,,,,,,,,,,,,,Food & Dining,Campus Engagement,Grounds,,,"gardens,food security,",10/16/2017,AASHE,Presentation,Ashlie Delshad,Associate Professor of Political Science,West Chester University of Pennsylvania,3773,Lynn Monahan,Assistant Professor,West Chester University of Pennsylvania,3773,,,,,,,,,,,,,,,,,,,,,,,,,1045_Delshad_2320.pptx,,,
Mapping Your Campus Metabolism: Taking a Systems Approach to Understanding Material Flows on Your Campus,"As campuses strive to become increasingly more sustainable, a comprehensive, integrated systems understanding of a university's campus metabolism and key material flows (water, energy, food, and materials) is essential for improving efficiency, minimizing waste, and meeting national commitments like the ACUPCC. A metabolic framework posits a system as a biological being that consumes, metabolizes, and transforms resources, and excretes waste. Numerous studies have applied this framework to understanding cities ('urban metabolism'), however few, if any, have applied it to a college campus ('campus metabolism'). We have attempted to apply this framework to Furman University by mapping the inflows, transformations, and material outflows of four resources (water, energy, food, and materials) and identify the key stakeholders within each system. In this session we will briefly present the framework and the concept of a campus metabolism. After which, we will engage participants in a discussion around the process of mapping their own campus metabolisms through developing a series of conceptual flow models that outline the inflows, transformations, and material outflows of various key campus resources and identify the key stakeholders within each system for their own university. We hope this process provides a holistic systems framework for understanding campus sustainability and inspires them to map their own campus metabolism post AASHE meeting.",Furman University,3836,,,,,,,,,,,,,Campus Engagement,Coordination & Planning,,,,"campus metabolisms,systems thinking",10/16/2017,AASHE,Poster,Weston Dripps,Executive Director,Furman University,3836,Kelly Grant Purvis,Associate Director of Sustainability Programs,Furman University,3836,,,,,,,,,,,,,,,,,,,,,,,,,1500_Dripps_2377.pptx,,,
Engaging Senior Leaders in Organizational Design and Idea Flow: Lessons learned from Corporate & Higher Education Sector Leaders,"This session will present key findings from a landmark corporate CEO study along with applied leadership engagement case stories from higher education institutions to help advance our collective efforts to engage senior leaders. The CEO study has engaged 30+ of the best known corporate CEOs in the world, including CEOs from Unilever, Ikea, Siemens, PepsiCo in a interview process designed to harvest their thinking in the domain of organizational design and idea flow. The study has being conducted by Chris Gyori from Leaders on Purpose, Leith Sharp from Harvard University along with collaborators from the London School of Economics and the World Bank. By exploring applied higher education case stories, from working with boards to engaging the senior leadership teams, we will distill what alignments and lessons we can utilize from the CEO study to enhance and inform the engagement of our senior leaders. The specific senior leadership focus is on transforming organizational structures, systems, processes and culture to enable a radical increase in levels of purpose driven leadership, workforce engagement, creativity, agility and idea flow.",Harvard University,4451,Swarthmore College,3879,,,,,,,,,,,Campus Engagement,Coordination & Planning,,,,"leadership,organizational transformation,executives",10/17/2017,AASHE,Presentation,Leith Sharp,"Director, Executive Education for Sustainability Leadership",Harvard University,4451,Aurora Winslade,Director of Sustainability,Swarthmore College,3879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Waste Diversion: Advancing Sustainable Materials Management at Emory,"Emory University's Sustainability Vision calls for aggressive waste minimization, including 95% diversion from landfills by 2025. Further, Emory is committed to the highest and best use of materials, innovation, transparent reporting, and collaborative partnerships. In 2015, Emory's Office of Sustainability Initiatives convened the Waste Think Tank, facilitating conversations with building designers, custodial leadership, and recycling and exterior services leadership that ultimately produced 42 recommendations. Emory then partnered with Cascadia Consulting Group and Burns & McDonnell in 2016-17 to develop its first Sustainable Materials Management Master Plan. The planning process included the following key elements. An extensive assessment of materials moving through Emory's campuses, including waste audits, physical infrastructure assessments, procurement and design standards review, and waste receiving facility visits. Stakeholder engagement with 100+ individuals from 25 departments, schools, and student groups. A regional summit with 15 area leaders, such as Georgia Tech and the City of Atlanta to Georgia Recycles and Keep Atlanta Beautiful. Comparative research assessing Emory's performance against 46 U.S. institutions. An analysis of a range of strategies, from improved program accessibility and standardization to strengthening vendor partnerships and enhancing data tracking and reporting. Development of a strategic, phased implementation plan.","Cascadia Consulting Group, Inc.",6326,Emory University,3931,,,,,,,,,,,Waste,Coordination & Planning,Food & Dining,,,sustainable materials,10/17/2017,AASHE,Presentation,Amity Lumper,Co-President,"Cascadia Consulting Group, Inc.",6326,Deena Keeler,Assistant Director of Auxiliary Services,Emory University,3931,,,,,,,,,,,,,,,,,,,,,,,,,1400_Keeler_2486.pptx,,,
Data Mapping Academia's Voluntary Commitments to the United Nations' Ocean Conference 2017,"The purpose of this research is to examine academic institutions voluntary commitments to the United Nations (UN) Sustainable Development Goals as published in the Partnership Data for the Sustainable Development Goals (PD4SDGs) database in 2016. More specifically, this poster seeks to present the geospatial distribution patterns of these commitments, including partner locations. These geospatial patterns serve as a proxy for the growth of shared values, norms, and beliefs necessary for cooperation and thus indicate relative support for the sustainable development goals. While the UN previously conducted a Visualization Competition in July 2017 with this dataset, the winning entry only analyzed project location by ocean basin. This research project expands on the efforts of the Visualization Competition by mapping the geospatial distributions of partner entities from the PD4SDGs dataset by entity classification type. This dataset is poorly structured for this purpose, but key data about 'academic institutions' and 'scientific communities' will be completed prior to the conference. Similar maps will eventually be drawn for other entity types as progress on the restructuring continues, with the goal to ultimately produce an interactive mapping system that allows the user to filter by entity type, goal, and project target location. If complete by conference time, these maps will also be presented.",Tarleton State University,3992,,,,,,,,,,,,,Campus Engagement,Public Engagement,,,,"United Nations,Sustainable Development Goals (SDGs),climate commitments,international",10/16/2017,AASHE,Poster,Anne Egelston,Assistant Professor,Tarleton State University,3992,Tu Nguyen,Mr.,Tarleton State University,3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nourishing U: Reclaiming Food, Alleviating Hunger, Redressing Health Inequities, and Serving up Food Justice","Salt Lake Excess, created by University of Utah Honors College students, is a novel real-time food recovery model focused on eliminating the transportation and coordination barriers to food recovery. Via an online database, businesses and gardens can log available food excesses and charities can claim specified food needs. Excess mobilizes on-call volunteers to transport these food donations. Excess works with the Salt Lake City Department of Sustainability, Salt Lake County Health Department, Utah State Agricultural Extension program, and University of Utah's Feed U food pantry, which works with the student groups: Food Recovery Network, Edible Campus Gardens, and the Real Food Challenge. Feed U and Excess are working with the newly established Nourishing U center in the Department of Nutrition and Integrated Physiology (NUIP) at the University of Utah to reach disadvantaged communities across the state whom may be suffering from food-related comorbidities such as obesity, diabetes, and other metabolic disorders. The focus is to divert fresh food that would have been thrown away, and provide community members with nutrition education in collaboration with NUIP within schools, senior centers, jail, etc. These collaborations offer a singular model within higher education food-related sustainability research, education, and action across underserved populations in order to redress public health inequities, environmental justice, and food justice.",University of Utah,3994,,,,,,,,,,,,,Public Engagement,Food & Dining,Campus Engagement,,,"hunger,food security,food recovery,food waste",10/16/2017,AASHE,Presentation,Shannon Jones,"Associate Instructor, Project Lead: Food, Movement, and U.",University of Utah,3994,Nick Knight,Student,University of Utah,3994,,,,,,,,,,,,,,,,,,,,,,,,,0915_Jones_2569.ppt,,,
Green Career Toolbox: Skills Workshops for More Effective/Employable SustainaStudents,"This session will allow attendees to discuss some of the specific skills that make students more effective agents for social change. For example, many sustainability offices already incorporate community-based social marketing or grassroots organizing principles into training for student interns. After surveying sustainability leaders at the University of Virginia, many also thought that workshops in other areas from videography to behavioral psychology would make them more employable in green careers. During their undergraduate studies, students gain significant experience through involvement in student orgs, internships, class projects, etc. They learn to navigate complex collaborations, lead their peers, and promote their causes - all incredibly valuable skills. Unfortunately though, much of this knowledge is gained through frustrating trial-and-error, and furthermore, these skills are difficult to sum up on a resume. Students at UVA are seeking more focused skills training, and we are starting to answer that call through an event series hosted by the Sustainability Office, the Career Center, and more. The skills that student sustainability leaders desire are wide-ranging, but the vast majority are also ones that can make them more effective advocates for change in their current roles as sustainability catalysts. Mutually beneficial for students, supervisors, and the sustainability movement as a whole, providing more formal skills training seems like a no-brainer.",University of Virginia,4028,,,,,,,,,,,,,Campus Engagement,Curriculum,,,,"skill development,career preparedness,change agents,social change",10/16/2017,AASHE,Poster,Dana Schroeder,Sustainability Outreach & Engagement Coordinator,University of Virginia,4028,Christie Julien,,University of Virginia,4028,,,,,,,,,,,,,,,,,,,,,,,,,1500_Schroeder_2571.pdf,,,
Building infographics at the University of Washington,"These posters showcase the environmental impact of buildings on campus, they're informative and show how much impact buildings have on the campus community.","University of Washington, Seattle",4030,,,,,,,,,,,,,Buildings,Public Engagement,,,,"metrics,arts & culture",10/16/2017,AASHE,Poster,Toren Elste,Program specialist,"University of Washington, Seattle",4030,Sean Schmidt,Sustainability Specialist,"University of Washington, Seattle",4030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability in the apparel discipline: The layers of ESRAP,"Social responsibility and sustainable fashion are two topics that have emerged as prominent themes in courses within textiles and apparel curriculums around the globe. As important as these topics and practices are there remains a challenge of how to weave this content into academic curriculum and to relate them directly to actual industry practices. This session will share classroom approaches (projects, findings, and lessons learned) for this integrating sustainability and corporate responsibility into the apparel curriculum. Items presented represent a sampling of projects being initiated by academians who are members of the Educators for Socially Responsible Apparel Practice (ESRAP) organization. Some of these projects include: creating new garments using muslin and fashion fabric scraps from previous apparel design projects (repurposing), designing an internationally focused fashion line that embodies a selected Eco approach (such as zero waste design and slow design), and a service learning project which focused on lengthening the life of garments via a mending and alteration shop, to name a few. Presentation will include physical examples of student work in addition to digital image referencing. Presentation aims to build bridges between the apparel discipline and others across academic campuses to move institutions towards sustainable development.",Baylor University,4423,University of Wyoming,4077,,,,,,,,,,,Curriculum,Campus Engagement,,,,"apparel,sustainable fashion",10/16/2017,AASHE,Poster,Rachel Eike,Assistant Professor,Baylor University,4423,Erin Irick,Assistant Professor,University of Wyoming,4077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students Counting Kilowatts - Student-engagement in energy conservation and master planning,"Universities are constantly undertaking studies and master planning efforts for all kinds of functions. These are opportunities for student learning and can be an important role for sustainability staff. Join Loyola University Chicago and Stanford University as they share their efforts to incorporate students in their energy master planning and conservation efforts. Both campuses will share how they have been able to develop programs, internships, and research using a 'Campus as Lab' model to explore and inform energy management. From plug-load inventories to life-cycle analysis, students can take on many tasks that improve and energize traditional energy projects. Audience members should leave this session with new models for student engagement, tips for incorporating student output into energy plans and new tools for 'Campus as Energy Lab' initiatives.",Loyola University Chicago,1865,Stanford University,4127,,,,,,,,,,,Energy,Coordination & Planning,,,,"students,living labs,energy conservation",10/16/2017,AASHE,Presentation,Aaron Durnbaugh,Director of Sustainability,Loyola University Chicago,1865,Fahmida Ahmed,"Director, Sustainability and Business Services (former AASHE chair)",Stanford University,4127,,,,,,,,,,,,,,,,,,,,,,,,,0915_Ahmed_2348.pdf,0915_Durnbaugh_2348.pdf,,
Engaging Students in Sustainable Living Without Social Media/Internet. Discussion for Sustainability Staff in Student Housing.,"Stanford University's Residential & Dining Enterprises in partnership with students and academic departments have performed cutting edge research on student behavior and facility efficiency. Within just a few years studies on how to reach students revealed while social media and email used to be the primary engagement tool, it now ranks low. We will share new (return to old) approaches and results to reaching students, and will host a discussion among attendees on how we can engage over internet stimulated students to participate in sustainable living in our residences with a large number of competing interests.",Stanford University,4127,,,,,,,,,,,,,Campus Engagement,Buildings,,,Housing & Residence Life,"eco-living,communications,social media",10/17/2017,AASHE,Presentation,Kristin Parineh,"Manager, R&DE Sustainability and Utility Programs",Stanford University,4127,Sea Gill,,Stanford University,4127,,,,,,,,,,,,,,,,,,,,,,,,,1245_Gill_2358.pdf,,,
Foundations of Sustainability,"Foundations of Sustainability is an interactive discussion seminar facilitated by the Colgate University Office of Sustainability Green Raider Interns that students may take to engage in conversations about sustainability and receive physical education credit through Colgate University's comprehensive wellness program. Throughout the program students explore current topics in sustainability at Colgate and beyond, with each week focusing on one of the following themes: Foundations of Sustainability, the Material Economy, Environmental Justice, Food, and the Power of One. Students engage with the topic through readings, videos, discussions, and activities to illustrate the themes of each week's lesson. The program is designed to be fun, educational, and interactive. Our goal in providing this course is to create a space in which students can discuss a topic that there is not always a time and place for in this environment. We ultimately hope that students will continue the discussions started in this course with their friends and family and put the principles they learned in the course into action in their daily lives.",Colgate University,4155,,,,,,,,,,,,,Campus Engagement,Wellbeing & Work,,,,"internships,courses,wellness",10/16/2017,AASHE,Poster,Ashlea Raemer,,Colgate University,4155,Pamela Gramlich,,Colgate University,4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engaged Scholarship with Community Partners: What We Can Learn From our Peers' Greenhouse Gases,"Through the class Sustainability & Climate Action Planning for Local Government at Colgate University, students engaged in community projects, one of which aimed to benchmark the University among its peer institutions in terms of greenhouse gas emissions. The student group found that by normalizing greenhouse gas inventory data across multiple metrics for contextualization it becomes clear which emissions areas a university can improve on. Instead of acting singularly in the world of sustainability, greenhouse gas contextualization encourages emissions reductions as a collective group, thus fostering cohesion in the progression toward a sustainable future. They found that institutions are able to use much more integrative and nuanced ways of targeting emissions when one considers the home institution in the context its peers. Using the benchmarking of Colgate University to its peers as an example, this presentation will display how contextualizing emissions data can be used among colleges and universities as an important emissions reduction tool and will showcase the benefits of using sustainability-related community projects as a platform for engaged scholarship. This presentation will look at the valuable professional and academic learning outcomes that result from working in collaboration with community partners.",Colgate University,4155,,,,,,,,,,,,,Curriculum,Air & Climate,,,,"community engagement,ghg reporting,emissions reduction",10/16/2017,AASHE,Poster,Pamela Gramlich,,Colgate University,4155,Seamus Crowley,Sustainability Intern,Colgate University,4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
