Program Name,Description or Abstract,Organization1,Organization1id,Sustainability Topic1,Sustainability Topic2,Academic Discipline1,Academic Discipline2,Academic Discipline3,Tag1,Tag2,Tag3,Program Type,Learning Outcomes,Expected Completion Time,Website1label,Website1URL
Environmental Geoscience (BS),"Indiana State University offers a environmental geoscience major that prepares students for specialization in the fields of environmental policy, environmental justice, and environmental consulting. On the state level, career opportunities include positions with state geological surveys or departments of natural resources, environmental management, or private environmental or engineering firms.",Indiana State University,6353,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,environmental policy,,Baccalaureate degree,,,Environmental Geoscience (BS),https://www.indstate.edu/cas/ees/undergraduate/environmental-geoscience-major
Sustainability Minor,"The Sustainability minor at Indiana State University not only encompasses a multidisciplinary perspective to solve problems from local to global scales, but also teaches the critical and systemic thinking skills that apply to myriad fields of study.",Indiana State University,6353,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Minor,,,Sustainability Minor,https://www.indstate.edu/academics/undergraduate/minors/sustainability
Conservation Minor,"The study of ecosystems, world environments, the conservation of sustainability of natural resources, along with basic earth sciences are the focus of the Biology minor in Conservation.",Indiana State University,6353,Curriculum,,Biological Sciences (includes Ecology),,,conservation,,,Minor,,,Conservation Minor,https://www.indstate.edu/cas/biology/undergraduate/minors/minor-conservation
Environmental Sustainability (BA),"The Major in Environmental Sustainability prepares students for this through a collection of multi-disciplinary courses and a core Environmental Sustainability course sequence that helps students to frame and link those diverse perspectives. In each core course, students will practice collaboratively addressing complex environmental problems, gaining increased autonomy and leadership throughout their four years.",Earlham College,0027,Curriculum,,Environmental Studies & Sciences,Sustainability Studies & Science,,environmental studies,sustainability studies,,Baccalaureate degree,,,Environmental Sustainability (BA),https://earlham.edu/environmental-sustainability/
Environmental Sustainability Minor,"The Minor in Environmental Sustainability is open to students of any major who wish to study the environment from interdisciplinary perspectives. Environmental sustainability is an interdisciplinary field that integrates natural and social sciences, humanities, arts, and education in pursuit of balancing human needs and ecological well-being. Environmental professionals research the environmental impacts of human behaviors and what drives these outcomes. Environmental sustainability considers the role of humans in nature and often views humans as embedded within environmental systems.",Earlham College,0027,Curriculum,,Environmental Studies & Sciences,Sustainability Studies & Science,,environmental studies,sustainability studies,,Minor,,,Environmental Sustainability Minor,https://earlham.edu/environmental-sustainability/
Integrated Pathway in Outdoor Education,"The Outdoor Education Integrated Pathway is designed to prepare students for a leadership role in the Outdoor Education industry, and/or in programs with remote or extended fieldwork components. Through a combination of coursework and field-based experiential learning, the Pathway emphasizes educational and environmental theory, interpersonal and leadership skills, and an introduction to technical skills such as backpacking, canoeing and rock climbing.",Earlham College,0027,Curriculum,,"Recreation, Leisure, & Tourism",Education,,environmental education,recreation,,Specialization/Concentration/Emphasis,,,Integrated Pathway in Outdoor Education,https://earlham.edu/academics/integrated-pathways/outdoor-education/
Integrated Pathway in Sustainability and Management,"The Sustainability and Management Integrated Pathway seeks to provide students with: An understanding of environmental issues that will face future organizational leaders, an understanding of how business and governmental organizations function, knowledge about the use of systems-thinking and triple bottom line decision-making, and skills from both management and sustainability that can be combined to create more sustainable business and government organizations.",Earlham College,0027,Curriculum,,"Business, Management, & Finance",Sustainability Studies & Science,,sustainable business,corporate social responsibility,,Specialization/Concentration/Emphasis,,,Integrated Pathway in Sustainability and Management,https://earlham.edu/academics/integrated-pathways/sustainability-and-management/
"Integrated Pathway in Art, Nature, and Conservation","The Art, Nature and Conservation Integrated Pathway is designed for students to explore the intersections of art, creativity, nature and conservation. Through a combination of coursework, hands-on and experiential learning, the designation emphasizes natural history, experiences with/in nature, and the use of artistic expression to support nature and habitat conservation, biodiversity, sustainability and environmental education.",Earlham College,0027,Curriculum,,Fine & Performing Arts,,,arts & culture,conservation,,Specialization/Concentration/Emphasis,,,"Integrated Pathway in Art, Nature, and Conservation",https://earlham.edu/academics/integrated-pathways/art-nature-and-conservation/
Integrated Pathway in Sustainable Agriculture,"The coursework and applied experiences in the Sustainable Agriculture Integrated Pathway engage students in different elements of food and agricultural systems, ranging from the soil to plants to production processes and the global economy. The pathway provides enough flexibility that students can pursue the facets of food and agricultural systems that are of most interest to them.",Earlham College,0027,Curriculum,Food & Dining,Agriculture,Sustainability Studies & Science,,sustainable agriculture,,,Specialization/Concentration/Emphasis,,,Integrated Pathway in Sustainable Agriculture,https://earlham.edu/academics/integrated-pathways/sustainable-agriculture/
Sustainability (BA),"The B.A. in Sustainability is an interdisciplinary degree program with the College of Arts and Sciences that examines interrelated environmental, political, economic, and social issues and problems facing our society at local, regional, and global scales. The goal of the degree is to prepare students to engage with these issues on multiple levels in the workplace and in their community so that collaborative solutions can be found.  The curriculum is designed to educate, train and prepare students for future careers in sustainability‐related endeavors that include: the environment, energy, climate change, public policy, transportation, and urban and regional planning.",University of Louisville,1647,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Baccalaureate degree,,,Sustainability (BA),https://louisville.edu/upa/programs/bachelors-of-sustainability
Social Change Minor,"The Social Change Minor promotes student engagement in community action and social change processes by examining societal problems through a social responsibility lens. Core and elective courses help students to pursue their particular interests—for example, the environment, civil rights, politics, deindustrialization, labor, or war & peace—from a variety of disciplinary perspectives.",University of Louisville,1647,Curriculum,,Public Administration & Policy,,,social change,,,Minor,,,Social Change Minor,https://louisville.edu/peace/academic-programs/social-change-minor
Environmental Engineering Certificate,"Students interested in increasing their knowledge of Environmental Engineering can take a series of courses and earn a certificate. The certificate program offers courses in the following disciplines: Civil and Environmental Engineering, Chemistry, Biology, Mechanical Engineering, and Chemical Engineering. ",University of Louisville,1647,Curriculum,,Engineering,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,environmental engineering,,,Graduate Certificate/Diploma,,,Environmental Engineering Certificate,https://catalog.louisville.edu/graduate/programs-study/graduate-certificate-environmental-engineering/index.html#admissiontext
"Earth, Society, and Environmental Sustainability (BS)","This is a flexible B.S. degree that allows students to structure an academic program with room for significant coursework pertaining to environment and sustainability issues. The major offers two concentrations: (1) Science of the Earth System, which is geared toward students with a physical or biological science focus, and (2) Society and the Environment, which is geared toward students with a social science and humanities focus. Each concentration allows students to select courses not only from ESE offerings but from many departments across campus, and thus provides an interdisciplinary perspective in both scientific and human aspects of environment and sustainability problems.","University of Illinois, Urbana-Champaign",4308,Curriculum,,Environmental Studies & Sciences,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)","Social Sciences (Economics, Geography, Political Science, etc)",environmental studies,,,Baccalaureate degree,,,"Earth, Society, and Environmental Sustainability (BS)",https://earth.illinois.edu/academics/earth-society-and-environmental-sustainability-academics/eses-major-requirements
Sustainable Design (BS),"Sustainable design majors complete course work in graphic and industrial design, architecture, landscape architecture, and urban and regional planning. The program combines concrete skills development with opportunities to move between disciplinary barriers and traverse traditional boundaries","University of Illinois, Urbana-Champaign",4308,Curriculum,,Architecture,Design,,design,,,Baccalaureate degree,,,Sustainable Design (BS),https://faa.illinois.edu/majors-minors/program
Environmental Economics & Policy Concentration,"Focusing on environmental and resource management issues at local, state, national, and international levels, students learn how to assess the economic aspects of resource and environmental issues and find rewarding positions in government, industry, consulting firms, and public interest groups.","University of Illinois, Urbana-Champaign",4308,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Specialization/Concentration/Emphasis,,,Environmental Economics & Policy Concentration,https://ace.illinois.edu/concentration/environmental-economics-and-policy
Crop Sciences (BS),"The Crop Sciences major is where plant genetics, biotechnology, business, data science, crop production, and sustainability are brought together by results-oriented faculty and students.","University of Illinois, Urbana-Champaign",4308,Curriculum,Food & Dining,Agriculture,,,sustainable agriculture,,,Baccalaureate degree,,,Crop Sciences (BS),http://catalog.illinois.edu/undergraduate/aces/crops-sciences-bs/
Agroecology Concentration,"The Agroecology Concentration addresses ecologically based management of cropping systems, stewardship of the environment, and sustainable food production systems. The intersection between crop plants and their environment is emphasized in this concentration. Graduates of the Agroecology concentration are prepared for careers in integrated plant health management, government regulatory and environmental agencies or for entrance into graduate or professional school.","University of Illinois, Urbana-Champaign",4308,Curriculum,Food & Dining,Agriculture,,,agroecology,,,Specialization/Concentration/Emphasis,,,Agroecology Concentration,http://catalog.illinois.edu/undergraduate/aces/crops-sciences-bs/agroecology/
Agricultural and Consumer Economics (BS),"The College of Agricultural, Consumer and Environmental Sciences (ACES) applies business and economics principles to food, agriculture, renewable energy, and the environment, both here and abroad. By combining technical knowledge of the food, agribusiness, environmental and consumer sectors with expertise in management, accounting, marketing, policy, and finance, our graduates learn to make strategic and effective decisions.","University of Illinois, Urbana-Champaign",4308,Curriculum,Food & Dining,Agriculture,"Social Sciences (Economics, Geography, Political Science, etc)",,food systems,sustainable agriculture,,Baccalaureate degree,,,Agricultural and Consumer Economics (BS),https://ace.illinois.edu/undergraduate/concentrations
"Geography (MA, MS)","The Geography Department is organized around three major core areas of specialization, each of which features leading experts in their fields: Cities, Space, and Society; Geographic Information Science; River, Watershed, and Landscape Dynamics","University of Illinois, Urbana-Champaign",4308,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,Master's Degree,,,"Geography (MA, MS)",https://ggis.illinois.edu/academics/graduate
Geography (PhD),"The Geography Department is organized around three major core areas of specialization, each of which features leading experts in their fields: Cities, Space, and Society; Geographic Information Science; River, Watershed, and Landscape Dynamics","University of Illinois, Urbana-Champaign",4308,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,Doctoral Degree,,,Geography (PhD),https://ggis.illinois.edu/academics/graduate
Natural Resources & Environmental Sciences (BS),"Designed for students interested in careers leading the conservation, protection, and management of natural and environmental resources or in pursuing advanced education in one of its many disciplinary areas, the NRES baccalaureate provides a science-based, application-oriented education. The NRES major is unique in its integration of a comprehensive physical, life, and social sciences background with coursework providing the management, decision-making, and analytical knowledge and skills required to solve the world’s most pressing problems.","University of Illinois, Urbana-Champaign",4308,Curriculum,,Environmental Studies & Sciences,,,natural resources,environmental science,,Baccalaureate degree,,,Natural Resources & Environmental Sciences (BS),http://catalog.illinois.edu/undergraduate/aces/natural-resources-environmental-sciences-bs/
International Agriculture & Rural Development (BS),"The International Agriculture and Rural Development (IARD) major is designed for students who are interested in tackling the unique and interdisciplinary issues associated with food systems and rural development in emerging nations. Students will have the opportunity to gain meaningful experience, hands-on by participating in projects and research all over the world. ",Cornell University,3066,Curriculum,,Agriculture,International & Global Studies,,sustainable agriculture,international focus,,Baccalaureate degree,,,International Agriculture & Rural Development (BS),https://cals.cornell.edu/education/degrees-programs/international-agriculture-rural-development-major-minor
Global and Public Health Sciences (BS),"GPHS majors develop a strong background in biology, general chemistry, organic chemistry, biochemistry, and physiology. These courses provide a foundation with which to understand the biomedical basis of public health issues. GPHS students also complete several core courses, a supervised Experiential Learning Opportunity, and a range of upper-level selectives.",Cornell University,3066,Curriculum,,Health Sciences & Medicine,International & Global Studies,,environmental health,,,Baccalaureate degree,,,Global and Public Health Sciences (BS),https://www.human.cornell.edu/dns/academics/undergraduate/majors/gphs
Agricultural Sciences (BS),"Cornell's Agricultural Sciences Major gives students the flexibility to tailor their studies to meet their unique goals with concentrations in Animal Science, Business Management and Policy, Education and Society, Organic Agriculture and Sustainable Cropping Systems Management. Students will develop leadership skills and get practical, hand-on experience, while they explore the dynamics of agricultural systems and related environmental and socio-economic issues.",Cornell University,3066,Curriculum,,Agriculture,,,sustainable agriculture,,,Baccalaureate degree,,,Agricultural Sciences (BS),https://cals.cornell.edu/education/degrees-programs/agricultural-sciences-major
Earth and Atmospheric Sciences (BS),"This degree will prepare students to tackle some of the most pressing challenges of our time. Global warming, dwindling energy resources, inadequate water supplies, political strife over strategic minerals, and mega-disasters threatened by volcanic eruptions, earthquakes, tsunami, and hurricanes: these are but a few of the headlines that appear with increasing frequency. Students may choose to focus on one of a number of disciplinary specialties such as geophysics or tectonics, or develop the broad expertise needed to understand the interactions between the diverse elements of earth and life in the past, present, and future.",Cornell University,3066,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,atmospheric science,earth science,,Baccalaureate degree,,,Earth and Atmospheric Sciences (BS),https://www.eas.cornell.edu/eas/programs/undergraduate-programs/abbs-earth-and-atmospheric-sciences
Entomology (BS),"The Entomology major provides an education in biological and environmental sciences, with a special emphasis on insects. Students in this major are not just fascinated by the most diverse group of animals on Earth; they understand that research in entomology is critical to human lives.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,entomology,,,Baccalaureate degree,,,Entomology (BS),https://cals.cornell.edu/education/degrees-programs/entomology-major-minor
Fiber Science and Apparel Design (BS),"The multidisciplinary approach of the Department of Fiber Science & Apparel Design at Cornell University combines design, art, biology, chemistry, engineering and social science concepts and methods. The department faculty seek to educate students about these topics with the long term goal of effecting change in design, in materials, in people's health and well-being, in manufacturing, in economic vitality, and in the environment.",Cornell University,3066,Curriculum,,Design,,,apparel design,,,Baccalaureate degree,,,Fiber Science and Apparel Design (BS),https://www.human.cornell.edu/fsad/academics/undergraduate/home
Food Science (BS),"The Food Science major prepares students to lead change in the food industry, academia and government. The research programs are designed to expand understanding of the biological/microbiological, chemical, physical, sensory, nutritional and engineering properties of foods and beverages. ",Cornell University,3066,Curriculum,Food & Dining,Agriculture,Biological Sciences (includes Ecology),,nutrition,food systems,,Baccalaureate degree,,,Food Science (BS),https://cals.cornell.edu/education/degrees-programs/food-science-major-minor
Landscape Architecture (BS),"Landscape Architecture is the design of outdoor areas such as public parks, restored wetlands, urban plazas, historic sites and botanical gardens. Students will learn to collaborate on a wide range of large projects, such as housing complexes, remediation of former industrial areas and the design of new towns and cities.",Cornell University,3066,Curriculum,Grounds,Architecture,Design,,landscape architecture,,,Baccalaureate degree,,,Landscape Architecture (BS),https://cals.cornell.edu/education/degrees-programs/landscape-architecture-major-minor
Nutritional Sciences (BS),"Cornell’s Division of Nutritional Sciences is devoted to human nutrition, with current research in the cognitive effects of early exposure to environmental toxins, environmental interventions to prevent obesity, and the impact of economic policies on poverty and malnutrition.",Cornell University,3066,Curriculum,Food & Dining,Biological Sciences (includes Ecology),,,nutrition,,,Baccalaureate degree,,,Nutritional Sciences (BS),https://cals.cornell.edu/education/degrees-programs/nutritional-sciences-major
Plant Sciences (BS),"While students majoring in Plant Sciences necessarily share a common enthusiasm for plants, the variety of available courses and research opportunities encourages a great diversity of individual interests and career paths. CALS’ Plant Sciences faculty members offer many opportunities for students to apply their knowledge as field and laboratory assistants. For example, current students are collecting experimental data to aid in the development and selection of plants with optimal yield, crop quality, and aesthetic appeal.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,agronomy,plant sciences,,Baccalaureate degree,,,Plant Sciences (BS),https://cals.cornell.edu/education/degrees-programs/plant-sciences-major-minor
Urban and Regional Studies (BS),"In the Bachelor of Science in Urban and Regional Studies (B.S. URS) program, students develop the insights, knowledge, and technical skills needed to understand cities in all their diversity, richness, and splendor, and address the myriad challenges of contemporary urban life. The program's small size (about 25–30 graduates each year) encourages students to work closely with professors. Sharing academic interests and concerns, professors and students learn from one another both inside and outside the classroom. Urban and regional studies (URS) classes ask how a vast spectrum of social and economic forces have changed cities; what these changes mean for people in their daily lives; and how citizens, community groups, and planners can work together to make productive, sustainable, safe, lively, and livable places.",Cornell University,3066,Curriculum,,"Urban, Community & Regional Planning",,,urban focus,,,Baccalaureate degree,,,Urban and Regional Studies (BS),https://aap.cornell.edu/academics/crp/undergraduate/bs-urs-degree-details
Developmental Sociology (BS),"Students majoring in Development Sociology gain an understanding in societal development and factors to solve social problems, both local and global. Students are provided close mentorship and opportunities for active, engaged and experiential learning. Recent undergraduate research topics include the reproductive differences between Muslim and non-Muslim women in Africa and the schooling and social networks of HIV/AIDS orphans in Zimbabwe.",Cornell University,3066,Curriculum,,"Behavior Sciences (Social Work, Counseling Psychology, etc.)",International & Global Studies,,international focus,sociology,,Baccalaureate degree,,,Developmental Sociology (BS),https://cals.cornell.edu/education/degrees-programs/development-sociology-major-minor
Biological Engineering (BS),"Biological Engineering students learn to combine the power of engineering principles and techniques with the rapidly developing science of biology. By integrating engineering and biology, students can help tackle some of today’s most pressing local, national and global challenges. Some graduates are working to ensure safe and sustainable food and energy supplies, protect natural resources, develop devices to monitor or intervene in the mechanisms of living organisms and using biological materials in other new and innovative ways.",Cornell University,3066,Curriculum,,Engineering,Biological Sciences (includes Ecology),,biology,environmental engineering,,Baccalaureate degree,,,Biological Engineering (BS),https://cals.cornell.edu/education/degrees-programs/biological-engineering-major
Community Food Systems Minor,"The Minor in Community Food Systems (CFS) is a university-wide program enabling undergraduate students to engage with critical contemporary issues relating to food security, food sovereignty, and food justice. In a context of diverse goals and approaches, the CFS Minor focuses on working with community partners to collaboratively understand and develop sustainable community food systems.  Students are provided with opportunities to integrate learning across courses with social, ethical, ecological, and agricultural perspectives on local food systems and participate in an experiential practicum embedded in a real-world context.",Cornell University,3066,Curriculum,Food & Dining,Biological Sciences (includes Ecology),,,food systems,,,Minor,,,Community Food Systems Minor,https://devsoc.cals.cornell.edu/undergraduate/minor/community-food-systems/
Soil Science Minor,"A minor in Soil Science prepares students for work on agricultural and natural ecosystems by learning to identify, understand and manage soils in agriculture and forestry in an environmentally responsible way. The soil science minor is available to students with any major at Cornell University; transfer credit can be used to meet requirements. Graduates with soils training can choose from a range of excellent professional opportunities and challenging careers, including those with government agencies.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,crop & soil sciences,,,Minor,,,Soil Science Minor,https://sips.cals.cornell.edu/undergraduate/minors/soil-science/
Design and Environmental Analysis Minor,"D+EA offers an integrative, flexible undergraduate cur­riculum that is student-centric. The program provides a substantive design education and is one of the few comparable programs that is STEM certified. Students complete a common core of foundation courses then choose to build expertise within a focus area utilizing electives from the broad course offerings within Human Ecology and at Cornell to sup­port their individual goals. Students can also elect to complete a minor, honor's thesis, or pursue an off-campus study experience. The curriculum is organized around the following three primary research themes:",Cornell University,3066,Curriculum,,Design,Environmental Studies & Sciences,,design thinking,environmental analysis,,Minor,,,Design and Environmental Analysis Minor,https://www.human.cornell.edu/dea/academics/undergraduate
Horticulture Minor,"The Horticulture Minor Program of Study in Horticulture aims to increase students’ knowledge and skills for managing fruits, vegetables and landscape plants for the purpose of improving the quality of life for individuals and communities. A minor in horticulture can complement many areas of study, from art history to biological engineering to hotel management.",Cornell University,3066,Curriculum,Grounds,Agriculture,,,horticulture,,,Minor,,,Horticulture Minor,https://sips.cals.cornell.edu/undergraduate/minors/horticulture-general/
Landscape Studies Minor,"Students outside the professional program may choose the undergraduate minor in landscape studies to complement their major (five courses, 15 credits).  Landscape is a useful unifying and foundational concept to address pressing problems of coupled human-environmental systems at the threshold of profound environmental change. Exploring landscape as an eco-cultural artifact provides useful insights into a culture’s relationship to nature.",Cornell University,3066,Curriculum,Grounds,Design,Architecture,,landscape architecture,,,Minor,,,Landscape Studies Minor,https://landscape.cals.cornell.edu/undergraduate/minor/
Marine Biology Minor,"Marine biology draws from a range of disciplines including organismal biology, marine microbiology, ocean biogeochemistry, biological oceanography and marine ecology. These disciplines consider adaptation of marine organisms to their environment, their interactions with other organisms, and ultimately the consequences and feedbacks of these interactions upon the environment. Marine habitats are sensitive barometers to anthropogenic perturbations today and global climatic perturbations over evolutionary history.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,biology,marine studies,,Minor,,,Marine Biology Minor,https://cals.cornell.edu/education/degrees-programs/marine-biology-minor
Plant Breeding Minor,"The Minor Program of Study in Plant Breeding provides a basic understanding of crop improvement, a historical perspective of the discipline, and a sense of how plant breeding contributes to modern society’s demands for food, fiber, fuel, and environmental sustainability.  A minor in plant breeding can complement most any major in the life sciences.",Cornell University,3066,Curriculum,Grounds,Biological Sciences (includes Ecology),Agriculture,,plant sciences,,,Minor,,,Plant Breeding Minor,https://sips.cals.cornell.edu/undergraduate/minors/plant-breeding/
Earth and Atmospheric Sciences Minor,"This minor will prepare students to tackle some of the most pressing challenges of our time. Global warming, dwindling energy resources, inadequate water supplies, political strife over strategic minerals, and mega-disasters threatened by volcanic eruptions, earthquakes, tsunami, and hurricanes: these are but a few of the headlines that appear with increasing frequency. Students develop the broad expertise needed to understand the interactions between the diverse elements of earth and life in the past, present, and future.",Cornell University,3066,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,atmospheric science,earth science,,Minor,,,Earth and Atmospheric Sciences Minor,https://www.eas.cornell.edu/eas/programs/undergraduate-programs/undergraduate-minors/earth-and-atmospheric-sciences-minor
Urban and Regional Studies Minor,The urban and regional studies (URS) minor has been formulated specifically for out-of-department students who are interested in what shapes cities and metropolitan regions.,Cornell University,3066,Curriculum,,"Urban, Community & Regional Planning",,,urban focus,,,Minor,,,Urban and Regional Studies Minor,https://aap.cornell.edu/academics/crp/undergraduate/urban-and-regional-studies-minor
Agriculture and Life Sciences (MPS),"The MPS degree program at Cornell CALS is ideal for career-focused students interested in the thorough study of issues and advancements in the fields of life, social, and environmental sciences and agriculture. At Cornell CALS, the MPS program spans multiple fields of study within the realm of agriculture and life sciences, including animal science, food science, global development, horticulture, plant and soil science, biological and environmental engineering, and more.",Cornell University,3066,Curriculum,,Agriculture,Biological Sciences (includes Ecology),,sustainable agriculture,crop & soil sciences,,Master's Degree,,,Agriculture and Life Sciences (Soil and Crop Sciences) (MPS),https://gradschool.cornell.edu/academics/fields-of-study/subject/soil-and-crop-sciences/agriculture-and-life-sciences-soil-and-crop-sciences-mps-ithaca/
Ecology (MS),"The program is intended to provide students with broad exposure to concepts and research approaches within ecology and evolution (primarily through seminars and formal course work), as well as in-depth study in one or more subdisciplines (normally guided by the student's Special Committee). The specific course of study is tailored to the needs of the individual student. Excellent laboratory and nearby field facilities are available, as are numerous collections and libraries. All students are required to obtain teaching experience by serving as teaching assistants for at least two semesters.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,ecology,,,Master's Degree,,,Ecology (MS),https://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/ecology-ms-ithaca/
Ecology (PhD),"The program is intended to provide students with broad exposure to concepts and research approaches within ecology and evolution (primarily through seminars and formal course work), as well as in-depth study in one or more subdisciplines (normally guided by the student's Special Committee). The specific course of study is tailored to the needs of the individual student. Excellent laboratory and nearby field facilities are available, as are numerous collections and libraries. All students are required to obtain teaching experience by serving as teaching assistants for at least two semesters.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,ecology,,,Doctoral Degree,,,Ecology (PhD),https://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/ecology-phd-ithaca/
Evolutionary Biology (MS),"The program is intended to provide students with broad exposure to concepts and research approaches within ecology and evolution (primarily through seminars and formal course work), as well as in-depth study in one or more subdisciplines (normally guided by the student's Special Committee). The specific course of study is tailored to the needs of the individual student. Excellent laboratory and nearby field facilities are available, as are numerous collections and libraries. All students are required to obtain teaching experience by serving as teaching assistants for at least two semesters.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,biology,,,Master's Degree,,,Evolutionary Biology (MS),https://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/evolutionary-biology-ms-ithaca/
Evolutionary Biology (PhD),"The program is intended to provide students with broad exposure to concepts and research approaches within ecology and evolution (primarily through seminars and formal course work), as well as in-depth study in one or more subdisciplines (normally guided by the student's Special Committee). The specific course of study is tailored to the needs of the individual student. Excellent laboratory and nearby field facilities are available, as are numerous collections and libraries. All students are required to obtain teaching experience by serving as teaching assistants for at least two semesters.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,biology,,,Doctoral Degree,,,Evolutionary Biology (PhD),https://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/evolutionary-biology-phd-ithaca/
City and Regional Planning (MRP),"Students learn to design, evaluate, and implement policies and programs that affect the social, economic, and physical development of urban and regional areas, including those in the Developing World. The educational program fosters theoretical and conceptual knowledge relevant to urban and regional studies, and the acquisition of professional skills, including those in critical thinking, oral presentation, writing, statistical analysis and Geographical Information Systems.",Cornell University,3066,Curriculum,,"Urban, Community & Regional Planning",,,urban focus,,,Master's Degree,,,City and Regional Planning (MRP),https://gradschool.cornell.edu/academics/fields-of-study/subject/city-and-regional-planning/city-and-regional-planning-mrp-ithaca/
Human-Environment Relations (MS),"The Field of Design and Environmental Analysis brings together experts in interior design, human factors and ergonomics, facility planning and management, and environmental psychology into a single field and department. Students benefit from a low faculty-to-student ratio and the faculty's integrated approach to the study of the planning, design, and management of the built environment and its effects on those using it.",Cornell University,3066,Curriculum,,Design,Environmental Studies & Sciences,,,,,Master's Degree,,,Human-Environment Relations (MS),https://gradschool.cornell.edu/academics/fields-of-study/subject/design-and-environmental-analysis/human-environment-relations-ms-ithaca/
Entomology (MS),"The Entomology Masters Program provides an education with several concentration options in insect pathology, insect behavior, integrated pest management, and more. Students in this program are not just fascinated by the most diverse group of animals on Earth; they understand that research in entomology is critical to human lives.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,entomology,,,Master's Degree,,,Entomology (MS),https://gradschool.cornell.edu/academics/fields-of-study/subject/entomology/entomology-ms-ithaca/
Entomology (PhD),"The Entomology Doctoral Program provides an education with several concentration options in insect pathology, insect behavior, integrated pest management, and more. Students in this program are not just fascinated by the most diverse group of animals on Earth; they understand that research in entomology is critical to human lives.",Cornell University,3066,Curriculum,,Biological Sciences (includes Ecology),,,entomology,,,Doctoral Degree,,,Entomology (PhD),https://gradschool.cornell.edu/academics/fields-of-study/subject/entomology/entomology-phd-ithaca/
Human Ecology (MPS),"The common focus of the field is the study of fibrous materials and their use as apparel, as engineering structures (such as composite materials), in biomedical applications, and in home furnishings. The Field of Fiber Science and Apparel Design is applied and multidisciplinary, with faculty members drawn from the Colleges of Human Ecology and Engineering.",Cornell University,3066,Curriculum,,Design,,,apparel design,,,Master's Degree,,,Human Ecology (MPS),https://gradschool.cornell.edu/academics/fields-of-study/subject/fiber-science-and-apparel-design/human-ecology-mps-ithaca/
Food Science and Technology (MS),"Candidates for the M.S. degree select one major in the field and one minor outside the field. There are no general course credit requirements for the M.S. or Ph.D. degrees. M.S. and Ph.D. degree candidates must make at least one research seminar presentation prior to graduation and are required to assist with the teaching program for at least one semester. In addition to the examinations required by the Graduate School, a qualifying examination is required of the M.S. and Ph.D. degree candidates before the start of their second semester of residence. M.P.S. degree candidates must meet the CALS credit requirements in addition to field requirements, which include a project presentation prior to graduation. All graduate students must take the field seminar (FDSC 6000) each term and Principles and Applications of Food Science and Technology (FDSC 6010) their first Fall semester.",Cornell University,3066,Curriculum,,Agriculture,Technology & Trades,,nutrition,sustainable agriculture,,Master's Degree,,,Food Science and Technology (MS),https://gradschool.cornell.edu/academics/fields-of-study/subject/food-science-and-technology/food-science-and-technology-ms-ithaca/
Food Science and Technology (PhD),"Candidates for the Ph.D. degree select one major in the field and two minors outside the field. There are no general course credit requirements for the M.S. or Ph.D. degrees. M.S. and Ph.D. degree candidates must make at least one research seminar presentation prior to graduation and are required to assist with the teaching program for at least one semester. In addition to the examinations required by the Graduate School, a qualifying examination is required of the M.S. and Ph.D. degree candidates before the start of their second semester of residence. All graduate students must take the field seminar (FDSC 6000) each term and Principles and Applications of Food Science and Technology (FDSC 6010) their first Fall semester.",Cornell University,3066,Curriculum,,Agriculture,Technology & Trades,,nutrition,sustainable agriculture,,Doctoral Degree,,,Food Science and Technology (PhD),https://gradschool.cornell.edu/academics/fields-of-study/subject/food-science-and-technology/food-science-and-technology-phd-ithaca/
