Program Name ,Description,Organization1,Organization1 ID,Organization2,Organization2 ID,Topic1,Topic2,Acad Discipline1,Acad Discipline2,Acad Discipline3,Tag1,Tag2,Tag3,Tag4,Year Founded (200x),Program Type,Learning Outcomes,Expected completion time,Approx # students completing program annually,Distance Ed.,Commitment,Link URL
Environmental Design (BS),"The BS program in environmental design offers an integrated curriculum in environmental design primarily in a nonstudio format. This undergraduate program is designed to create a deep awareness and knowledge of issues that influence the design of built environments and the design of artifacts in general. The program of study emphasizes general knowledge and design research as well as focus areas. Focus areas include histories and theories of design; innovation, technology and design strategies; and sustainability in environmental design. The curriculum will provide special understanding of theories, technologies, social issues and management aspects related to the student's chosen focus area. ",Arizona State University,4531,,,Curriculum,,Design,,,,,,,,Baccalaureate degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/HIEDSBS/undergrad/false
Master's in Human Centered Design,"A multidisciplinary experience that includes other scientific disciplines, from human-computer interaction and artificial intelligence to architecture, ethnographical design and crisis management. In addition to specializing in HCD, the School of Human-Centered Design, Innovation and Art also offers courses on creativity and design thinking, function analysis, industrial design and user experience. ",Florida Institute of Technology,7962,,,Curriculum,,Design,,,,,,,,Master's Degree,,,,,,http://www.fit.edu/programs/8200/ms-human-centered-design#.WBOrMNIrL0M
Bachelor of Environmental Design (BED),"provides extensive knowledge of architectural history and theory, and cultivates high levels of knowledge and capability in building and design technology. Coursework encourages multidisciplinary and comparative perspectives that allow opportunities for communication and team oriented methods of production. Global perspectives are encouraged by a mandatory semester-long study away experience that includes study abroad or internship opportunities. ",Texas A&M University,7982,,,Curriculum,,Design,,,,,,,,Baccalaureate degree,,,,,,http://dept.arch.tamu.edu/academics/undergraduate/
Sustainable Product Design & Innovation (Bachelor),"The Sustainable Product Design and Innovation (SPDI) program educates students who are capable of leading movement toward a more sustainable future. They learn to be creative change-makers, confident and competent in their design thinking practices and grounded in a framework of sustainability principles to guide their decisions. The SPDI program was designed to integrate product design methodologies, cutting-edge technologies and hands-on model and prototype building within the context of business enterprise and the liberal arts. The Sustainable Product Design and Innovation major at Keene State College is a pre-professional four-year program offering a cross-disciplinary curriculum to give the student a solid foundation in the artistic, scientific, and technical aspects of product design and the social and scientific aspects of sustainability concerns. ",Keene State College,3800,,,Curriculum,,Design,Sustainability Studies & Science,,,,,,,Baccalaureate degree,,,,,,http://www.keene.edu/academics/programs/spdi/
Sustainable Design Graduate Certificate,"The College of Architecture and Design offers a certificate in Urban Design and a certificate in Sustainable Design. Certificate programs are open to master's students in any degree program within the college and to students with a professional design degree, such as professionals seeking continuing education on a part-time or full-time basis. ",University of Tennessee at Knoxville,3031,,,Curriculum,,Design,,,,,,,,Graduate Certificate/Diploma,,,,,,http://catalog.utk.edu/preview_program.php?catoid=19&poid=8049;%20http://archdesign.utk.edu/academics/architecture/graduate-architecture/curriculum-degrees/concentrations-certifcates/
Environmental Education & Interpretation (BS),"This major seeks to integrate training in organismal biology, including a required field component, with in-depth training in the literature and context of natural history and a suite of environmental interpretation offerings. Students gain work experiences through a professional internship, where the recently acquired knowledge and skills in this arena can be applied. Where most people in the environmental education and interpretation fields have a background either in science or in education, the ESF program provides skills in both. ",State University of New York College of Environmental Science and Forestry,1404,,,Curriculum,,Education,Environmental Studies & Sciences,,environmental education,,,,,Baccalaureate degree,,,,,,http://www.esf.edu/efb/eei/
Education for Environmental Sustainability Certificate,"Environmental education focuses on the exploration of environmental issues, problem solving, critical thinking, and taking action to improve the environment. Furthermore, education for sustainability is a transformative process that prepares individuals to lead an informed citizenry whereby responsible individual and collaborative actions result in an ecologically sound, economically prosperous, and equitable society for present and future generations. ",University of Cincinnati,2081,,,Curriculum,,Education,Environmental Studies & Sciences,,environmental education,,,,,Undergraduate Certificate/Diploma,,,,,,https://webapps2.uc.edu/ecurriculum/DegreePrograms/Program/Detail/18CRT-EDES-C1
Leadership for Sustainability Education Specialization,"LSE prepares graduates for professional careers in sustainability education through the rigorous study of educational leadership and sustainability pedagogy that addresses the importance of ecological systems, bio-cultural diversity, social and economic justice, and multicultural perspectives. ",Portland State University,2515,,,Curriculum,,Education,Sustainability Studies & Science,,,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.pdx.edu/elp/lecl
Environmental Education Certificate,"The Mary Lou Fulton Teachers College certificate in environmental education is for traditional and nontraditional educators and is designed to establish standards for professional excellence in environmental education. Environmental education is taught in traditional classrooms and as community programs such as those at nature centers, museums, parks and zoos. The coursework required in the certificate increases the environmental literacy of future educators, fosters community leadership strategies, and provides practice in environmental education teaching methods. Students who complete the certificate are eligible to apply for the environmental education certificate recognized by the North American Association for Environmental Education. ",Arizona State University,4531,,,Curriculum,,Education,Environmental Studies & Sciences,,environmental education,,,,,Undergraduate Certificate/Diploma,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/TEEVEDCERT/undergrad/true
Outdoor & Environmental Education Minor,"This minor provides students with essential skills necessary to inspire future stewards, education people of all ages and from all backgrounds in both formal and informal settings. This skill set creates ideal professionals, well equipped to infuse sustainability into multidisciplinary curriculum. ",Central Michigan University,2763,,,Curriculum,,Education,,,environmental education,,,,,Minor,,,,,,https://go.cmich.edu/academics/undergraduate/find_program/pages/outdoor-and-environmental-education.aspx
Architectural Conservation & Sustainability Engineering (BEng),"Carleton’s program in Architectural Conservation and Sustainability Engineering teaches students to approach the design and retrofit of new and existing buildings with sustainability as the primary objective, which includes considering the life cycle costs and impacts of the materials selected, energy needs and consumption, and the effective reuse and adaptation of existing structures. Students in the program, working closely with Carleton’s architecture students, have the option of following a Structural stream or an Environmental stream after their second year. ",Carleton University,184,,,Curriculum,Buildings,Engineering,Architecture,,,,,,,Baccalaureate degree,,,,,,http://admissions.carleton.ca/programs/architectural-conservation-and-sustainability-engineering/
Sustainable & Renewable Energy Engineering (BEng),"This program provides analytical and hands-on skills for designing, building, operating and enhancing sustainable energy systems that combine energy generation, distribution and utilization in an environmentally responsible and economically beneficial manner. Two streams are offered: Smart Technologies for Power Generation and Distribution, and Efficient Energy Generation and Conversion. ",Carleton University,184,,,Curriculum,Energy,Engineering,Sustainability Studies & Science,,renewable energy,,,,,Baccalaureate degree,,,,,,https://admissions.carleton.ca/programs/sustainable-and-renewable-energy-engineering/
Environmental Engineering (BS),"WPI’s interdisciplinary Environmental Engineering (EVE) program offers students an exciting opportunity to focus their technical capabilities on evolving science and engineering that affects human quality of life all over the world—and can simultaneously help preserve and restore areas in which they work. With topics for research ranging from water quality preservation to contaminated site remediation, and opportunities to work in outdoor settings and communities as well as in laboratories with professors who are leaders in their fields, both graduate and undergraduate students can grow within this vital and burgeoning field. ",Worcester Polytechnic Institute,194,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://www.wpi.edu/academics/eve/ugprograms.html
Environmental Engineering (MS),"WPI’s interdisciplinary Environmental Engineering (EVE) program offers students an exciting opportunity to focus their technical capabilities on evolving science and engineering that affects human quality of life all over the world—and can simultaneously help preserve and restore areas in which they work. With topics for research ranging from water quality preservation to contaminated site remediation, and opportunities to work in outdoor settings and communities as well as in laboratories with professors who are leaders in their fields, both graduate and undergraduate students can grow within this vital and burgeoning field. ",Worcester Polytechnic Institute,194,,,Curriculum,,Engineering,,,environmental engineering,,,,,Master's Degree,,,,,,https://www.wpi.edu/academics/study/environmental-engineering-ms
Environmental Resources Engineering (BS),This program offers engineering science and design course work in the areas of environmental and related resources with a breadth and combination unparalleled in the United States. Our graduates use their engineering to manage natural resource systems to meet the needs and dreams of many constituents. ,State University of New York College of Environmental Science and Forestry,1404,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://www.esf.edu/ere/ere/
Civil & Environmental Engineering (BS),"The Civil and Environmental Engineering program provides a basic civil engineering education with depth in the areas of environmental engineering, structural engineering, structural mechanics, and transportation. Civil and Environmental Engineers continue to make vital contributions to the solution of current issues of modern society such as pollution control, transportation, bridges, water resource development, and wastewater treatment. ",Tennessee Technological University,1491,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,https://www.tntech.edu/engineering/departments/cee/about/
"Renewable (Solar) Energy Option, Energy Engineering (MS)",The UMass Lowell graduate program in Energy Engineering offers professional training at the master's degree level designed to prepare the student to perform state-of-the-art work on energy systems. ,University of Massachusetts Lowell,1729,,,Curriculum,Energy,Engineering,,,renewable energy,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.uml.edu/Catalog/Graduate/Engineering/Energy-Engineering/Masters-Program.aspx
Environmental Engineering (BSE),"The environmental engineering program provides undergraduate students with the background necessary to bridge the gap between understanding challenging societal problems in the air, water, land, and subsurface environments, and preventing and solving them in a sustainable manner. ",University of Cincinnati,2081,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,https://webapps2.uc.edu/ecurriculum/DegreePrograms/Program/Detail/20BC-ENVE-BSEVE
"Energy & Environment Specialization, Engineering Program","The Energy and Environment Specialization provides education and training necessary for understanding, avoiding, minimizing and (effectively and efficiently) solving industrial challenges related to the impact of energy utilization on the environment. It prepares high-quality undergraduate students for careers in engineering that link energy and the environment. ",University of Calgary,2243,,,Curriculum,,Engineering,,,,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.schulich.ucalgary.ca/ceere/undergraduate
Bioresource Engineering (MS),"The Bioresource Engineering program (BREE) is interdisciplinary, being founded on an integration of engineering with the biological sciences. Bioresource Engineering includes the design, construction, operation, maintenance, remediation and upgrading of systems that contain biological components. ",McGill University,2381,,,Curriculum,,Engineering,,,,,,,,Master's Degree,,,,,,http://www.mcgill.ca/bioeng/
Environmental Engineering (BS),"The Bachelor of Science - Environmental Engineering (BSENVE) program provides training for engineers to preserve the natural environment – an especially important part of our culture in Portland and in the state of Oregon. Oregon prides itself on its environmental commitments and efforts toward living sustainably. This degree focuses on the fundamentals of environmental and water resources engineering with recommended tracks in geo-environmental, surface water hydrology and remote sensing, surface and groundwater water quality, groundwater hydrology, or air quality. Many of the required courses in the program are interdisciplinary drawing from the Departments of Chemistry, Mathematics and Statistics, Environmental Science and Management, Physics, Geology and Biology. ",Portland State University,2515,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://www.pdx.edu/cee/bsenve
"Energy Systems Concentration, Engineering (MS)","Issues related to limited energy resources, energy efficiency and conservation, and renewable energy, as well as the effects of ever-increasing energy production and consumption are prompting a significant surge in the need for professionals with an advanced education in energy systems. A newly developed concentration area for the SFSU Master of Science in Engineering degree addresses this rising demand for energy professionals. ",San Francisco State University,2757,,,Curriculum,Energy,Engineering,,,,,,,,Specialization/Concentration/Emphasis,,,,,,http://engineering.sfsu.edu/academics/graduate/engineering/es.html
Civil & Environmental Engineering (BS),"Students following the Civil Engineering curriculum have the opportunity during their senior year to specialize with elective courses in the concentrations of: Geotechnical/Transportation, Structures/Materials, or Water/Environmental. ",University of South Florida,2939,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://www.usf.edu/engineering/cee/undergraduate/index.aspx
Environmental Engineering (MS),"The M. S. E. V. is a research-oriented degree in which the student writes, as a major part of the degree requirements, a thesis that defines, examines, and reports in depth on a subject area relevant to Environmental Engineering. ",University of South Florida,2939,,,Curriculum,,Engineering,,,environmental engineering,,,,,Master's Degree,,,,,,http://www.grad.usf.edu/programs/programinfomation.php?pcode=EVEEN-M.S.E.V.
Environmental Engineering (BS),"The Environmental Engineering major is structured to provide students with appropriate background in the physical, chemical and biological sciences together with the mathematical, planning, analysis and design tools necessary to address complex environmental engineering problems. ",Cornell University,3066,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://bee.cals.cornell.edu/undergraduate/environmental-engineering-program
Wind Energy Minor,"The curriculum of the newly approved PhD degree program for WESEP, as part of our IGERT project: A new PhD Program on Wind Energy Science, Engineering and Policy (WESEP), includes courses that are classified as “introductory”, “core” and “specialization”. While the introductory courses are designed to cover the “breadth” and specialization courses are designed to cover the “depth”, the core courses are offered to cover both “depth and breadth” in the field",Iowa State University,3118,,,Curriculum,Energy,Engineering,,,wind,renewable energy,,,,Minor,,,,,,http://catalog.iastate.edu/interdisciplinaryprograms/minor/windenergy/
"Wind Energy Science, Engineering & Policy (PhD)","The curriculum of the newly approved PhD degree program for WESEP, as part of our IGERT project: A new PhD Program on Wind Energy Science, Engineering and Policy (WESEP), includes courses that are classified as “introductory”, “core” and “specialization”. While the introductory courses are designed to cover the “breadth” and specialization courses are designed to cover the “depth”, the core courses are offered to cover both “depth and breadth” in the field. ",Iowa State University,3118,,,Curriculum,Energy,Engineering,,,wind,renewable energy,,,,Doctoral Degree,,,,,,http://www.igert.windenergy.iastate.edu/education/curriculum-structure/
Environmental Resources Engineering (BS),"The program’s mission is to educate students to identify and solve complex environmental resources engineering problems. The program prepares responsible leaders who will sustain, restore and protect our natural resources and the environment. ",Humboldt State University,3222,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,"The four ERE program educational objectives are to train and develop graduates who go on in their careers to: Apply engineering analysis and design to identify and solve critical environmental resources problems,restoring and sustaining the global environment and communities who depend on access to natural resources. Practice engineering with the highest professional standards, demonstrating respect for social, ethical, cultural, environmental, economic, and regulatory concerns. Continue their professional development by obtaining engineering licensure and other certifications, completing postgraduate study, and continually advancing their knowledge and skill base. Demonstrate leadership in the profession as well as in diverse and interdisciplinary team settings, drawing out the best in their co-workers and effectively communicating and collaborating with a range of stakeholders and the public.",,,,,http://www2.humboldt.edu/engineering/
Environmental Engineering (MS),"Our department has a rich history of teaching excellence and a diverse group of faculty whose research efforts have led to the development of nationally and internationally recognized programs in areas related to the environment, geotechnics, structures, transportation, and water resources. Areas of emphasis: Solid and Hazardous Waste Management, Water Supply, Wastewater Treatment",New Mexico State University,3590,,,Curriculum,,Engineering,,,environmental engineering,,,,,Master's Degree,,,,,,http://ce.nmsu.edu/
Environmental Engineering (MS),"Current research activities encompass physical/chemical/biological wastewater treatment, hazardous waste treatment, drinking water treatment, groundwater and soil remediation, and indoor air pollution control. ",Missouri University of Science and Technology,3594,,,Curriculum,,Engineering,,,environmental engineering,,,,,Master's Degree,,,,,,http://care.mst.edu/degreeprograms/environmentalengineering/graduate/
Environmental Engineering (BS),"The curriculum leading to a B. S. degree in Environmental Engineering provides a strong foundation in mathematics, physical, natural and engineering sciences. Instruction in environmental engineering includes air pollution, surface and groundwater hydrology, water and wastewater engineering, and geoenvironmental engineering. ",University of Vermont,3995,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://catalogue.uvm.edu/undergraduate/engineeringandmathematicalsciences/engineering/environmentalengineeringbs/
Civil & Environmental Engineering (BS),"The Civil and Environmental Engineering department is committed to finding solutions to our major sustainability challenges this century, as well as educating and training the leaders who will have a large impact on the profession and on society. ",Stanford University,4127,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,https://cee.stanford.edu/about/department-overview
Environmental Systems Engineering (BS),"This interdisciplinary program has two options: (1) Environmental Systems Engineering is concerned with the impact of industrial activities on the environment and the choice of cost-effective remediation strategies; (2) Environmental Health and Safety Engineering is concerned with safe and healthful design of industrial systems such that workers are protected from potentially high risk exposures associated with today's industries. The program is unique as it is designed to address critical environmental, safety and health problems of the basic industries such as those involved in the extraction, conversion, and utilization of energy and mineral resources. The human, societal, economic, ethical, and regulatory aspects of the industries' impacts on the environment, and on the workers themselves, are also addressed.",Pennsylvania State University,4190,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://www.eme.psu.edu/envse
"Electric Power & Energy Systems Concentration, Electrical Engineering (BSE)","The goal of the electric power and energy systems concentration is to prepare graduates for positions in industries dealing with generation, transmission and utilization of electric power. Generation includes conventional power generation (fossil fuel and nuclear) and alternative energy systems, including solar, wind and fuel cells. Students in this program will complete the foundation courses in math, science and engineering. They are then required to take the pathway course in electric power and complete nine of the 15 technical elective credit hours with power classes. In addition, the senior design capstone project should be in the area of electric power and energy systems.",Arizona State University,4531,,,Curriculum,Energy,Engineering,,,alternative energy,,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESEEEPBSE/undergrad/false
"Alternative Energy Concentration, Electronics Engineering Technology (BS)","The alternative energy technologies concentration explores the demands of energy resources in the new economy. This program strives to educate individuals in the use of energy sources such as solar, wind, ocean, geothermal and biomass and provides hands-on laboratory experience on several energy conversion and storage technologies, including photovoltaics, fuel cells, batteries, electrolyzers and supercapacitors. ",Arizona State University,4531,,,Curriculum,Energy,Engineering,,,alternative energy,,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/TSEETABS/undergrad/false
"Engineering, Humanitarian Engineering Concentration (BSE)","The ABET-accredited BSE engineering program prepares graduates to collaborate across disciplines to design and build solutions to real-world problems. In the Bachelor of Science in Engineering program, students apply fundamental engineering knowledge and design thinking to real projects every semester. Students in the humanitarian engineering concentration first build a broad engineering foundation to which they add the skills and knowledge necessary to adapt water and energy systems to local and developing-world needs. They work with ASU's Global Resolve organization to learn to identify and implement appropriate technological and cultural solutions. Graduates of the concentration will be positioned to work on transdisciplinary teams addressing vital engineering needs of communities in the developing world. They will have real-world experience with the challenges and opportunities inherent in this environment and impact lives by solving real problems. ",Arizona State University,4531,,,Curriculum,,Engineering,,,humanitarian focus,,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/TSEGRHEBSE/undergrad/false
Mechanical Engineering - Energy & Environment (BSE),"The concentration in energy and environment, within the BSE in mechanical engineering, is designed to prepare students to analyze technical problems in: air pollution, climate change, energy efficiency, environmental sustainability, renewable energy, and timely issues facing the global community. Although the primary focus of this program is technical, the general education courses in the areas of the humanities and social and behavioral sciences introduce students to the global, political and societal issues relating to energy and the environment. ",Arizona State University,4531,,,Curriculum,,Engineering,,,environmental engineering,,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESMAEEBSE/undergrad/false
MSE in Sustainable Engineering,"The MSE in sustainable engineering is a multidisciplinary graduate program ideal for professionals and graduate-level students with engineering and physical science backgrounds who wish to design a flexible individualized plan of study. Courses cover such sustainable engineering topic areas as energy systems and alternative energy production, water, transportation, earth systems engineering, industrial ecology, life cycle assessment, environmental technologies, green construction practices and sustainable technology systems. ",Arizona State University,4531,,,Curriculum,,Engineering,,,,,,,,Master's Degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESSUEMSE/graduate/false
Master in Chemical Engineering: Energy & Sustainable Development,"The Energy and Sustainable Development option of the Master's Degree in Chemical Engineering is intended for candidates who want to improve their training in the analysis, selection, design, installation and maintenance of energy systems in a sustainable development context. The objective of the program is to increase knowledge on the characteristics of different energy sources, choice, design, socio-economic analysis and maintenance of energy systems according to the type of installation. ",Polytechnique Montreal,6071,,,Curriculum,,Engineering,,,environmental engineering,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.polymtl.ca/etudes/cs/chimique/option_energieDev.php
Master in Energy Engineering: Renewable Energy,"The Sustainable Design and Manufacturing of Modular Mastery in Mechanical Engineering course is designed for applicants who wish to further their training in the design and manufacturing of products and buildings that integrate the notions of sustainable development. The aim is to know how to manufacture products and build buildings by developing a ""life cycle"" system approach that aims to reduce the pressure of products and processes used on resources and the environment throughout their life cycle . ",Polytechnique Montreal,6071,,,Curriculum,Energy,Engineering,,,renewable energy,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.polymtl.ca/etudes/cs/energetique/option-energie-renouvelable.php
Master in Mechanical Engineering: Sustainable Design & Manufacturing,"The Sustainable Design and Manufacturing of Modular Mastery in Mechanical Engineering course is designed for applicants who wish to further their training in the design and manufacturing of products and buildings that integrate the notions of sustainable development. The aim is to know how to manufacture products and build buildings by developing a ""life cycle"" system approach that aims to reduce the pressure of products and processes used on resources and the environment throughout their life cycle . ",Polytechnique Montreal,6071,,,Curriculum,,Engineering,Design,,,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.polymtl.ca/etudes/cs/mecanique/option_conceptionFabDurable.php
Environmental Engineering (BS),"Environmental Engineering involves the application of engineering principles to the design and development of systems, processes, and tools needed for the protection of the environment, human health, and natural ecosystems in order to foster sustainable development. The Bachelor of Science in Environmental Engineering (B. S. Env. E. ) emphasizes municipal, natural, and industrial environments with focus on the core competency areas of water and wastewater treatment, water resources engineering, solid and hazardous waste management, and air and water quality control. This program employs a team-based interdisciplinary learning philosophy. This approach provides students with the critical thinking skills required for effective and innovative engineering practice. ",Florida Gulf Coast University,7961,,,Curriculum,,Engineering,,,environmental engineering,,,,,Baccalaureate degree,,,,,,http://www.fgcu.edu/eng/EnvCivDpt/envbs/index.asp
Geoenvironmental Engineering Graduate Certificate,This certificate program is designed to provide formalized education in the area of geoenvironmental engineering. ,Missouri University of Science and Technology,3594,,,Curriculum,,Engineering,,,environmental engineering,,,,,Graduate Certificate/Diploma,,,,,,http://dce.mst.edu/credit/certificates/geoenvironmentalengineering/
Environmental Science & Policy (BS),"The B. S. in Environmental Science and Policy was approved in 1995. This interdisciplinary program is housed in the College of Arts and Sciences. All students must complete the University’s General Education Requirements. All majors in the program must complete the required core courses and select among the elective courses offered. Finally, all majors must complete an upper division seminar and an internship or project.",University of South Florida St. Petersburg,813,,,Curriculum,,Environmental Studies & Sciences,Public Administration & Policy,,environmental science,,,,1995,Baccalaureate degree,,,,,,http://www.usfsp.edu/espg/programs/bsesp/
Sustainable Forest Management (MF/MS),"The Sustainable Forest Management graduate program emphasizes the conservation of forest-dominated landscapes to meet a defined set of ecological, economic and social criteria over long time frames. The program follows the sustainable principles outlined by the Montreal Process Criteria and Indicators. These principles have been adopted by the state of Oregon. ",Oregon State University,4044,,,Curriculum,,Environmental Studies & Sciences,,,forests,,,,,Master's Degree,,,,,,http://gradschool.oregonstate.edu/programs/1090
Sustainable Forest Management (MS),"The Sustainable Forest Management (SFM) graduate program emphasizes the conservation of forest-dominated landscapes to meet a defined set of ecological, economic and social criteria over long time frames. The program follows the sustainable principles outlined by the Montreal Process Criteria and Indicators. These principles have been adopted by the state of Oregon. The program provides a strong grounding in the principles and techniques of active management of forests to improve forest health and condition while producing a full range of products and ecosystems services. It consists of a common core in the principles and criteria of sustainable forest management; statistics for design and interpretation of experiments; and specialization in one of six areas of concentration. The MF degree requires a project, MS a thesis, and PhD a dissertation. ",Oregon State University,4044,,,Curriculum,,Environmental Studies & Sciences,,,forests,,,,,Master's Degree,,,,,,http://catalog.oregonstate.edu/MajorDetail.aspx?id=894
Sustainable Forest Management (PhD),"The Sustainable Forest Management graduate program emphasizes the conservation of forest-dominated landscapes to meet a defined set of ecological, economic and social criteria over long time frames. The program follows the sustainable principles outlined by the Montreal Process Criteria and Indicators. These principles have been adopted by the state of Oregon. ",Oregon State University,4044,,,Curriculum,,Environmental Studies & Sciences,,,forests,,,,,Doctoral Degree,,,,,,http://gradschool.oregonstate.edu/programs/1090
Sustainable Forest Management Minor,"The Sustainable Forest Management graduate program emphasizes the conservation of forest-dominated landscapes to meet a defined set of ecological, economic and social criteria over long time frames. The program follows the sustainable principles outlined by the Montreal Process Criteria and Indicators. These principles have been adopted by the state of Oregon. ",Oregon State University,4044,,,Curriculum,,Environmental Studies & Sciences,,,forests,,,,,Minor,,,,,,http://gradschool.oregonstate.edu/programs/1090
Coastal & Marine Studies Interdisciplinary Minor,"ECU’s Coastal and Marine Studies Interdisciplinary Minor prepares students with a broad understanding of coastal and marine resources, science, and management in order to understand policy dilemmas and critically assess solutions. Students are prepared to apply their COAS knowledge to augment competency and skills gained in a major field of study. The minor is open to both science and non-science majors, offers a core knowledge of oceanography and coastal-marine resources, and provides avenues for specialization and field or laboratory experience. ",East Carolina University,38,,,Curriculum,,Environmental Studies & Sciences,,,marine systems,,,,,Minor,,,,,,http://www.ecu.edu/cs-cas/coas/
Environmental Studies (BA),"With an emphasis on liberal arts, the Program in Environmental Studies seeks to facilitate student development of an interdisciplinary understanding of the relationships that define the interaction between humans and the environment. ",Washington and Lee University,88,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,https://www.wlu.edu/environmental-studies-program
Environmental Studies Minor,"The program curriculum allows students to develop interdisciplinary expertise and an understanding of how insights from different disciplines complement each other. This is not only a unique academic experience, but also one that expands the students’ ability as citizens to be aware of the scientific, ethical, and policy issues they will face in their local communities, their professions and in their broader world community. The faculty approved the program in environmental studies interdisciplinary concentration in 1998 and the major in 2007.",Washington and Lee University,88,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,https://www.wlu.edu/environmental-studies-program
"Technology, Society, Environment Studies Minor","The TSE courses reflect the need to modernize education by tailoring it to our future needs. Taking one or more TSE courses makes it possible for students to ""acquire an additional dimension of understanding, additional vision, and the sense of responsibility for the survival and importance of the whole that distinguishes the manager from the subordinate, and the citizen from the subject""",Carleton University,184,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,http://tse.carleton.ca/
Environmental Biology (Bachelor),The environmental biology major provides a broad background in the biological sciences with a focus on how humans interact with their biological environments. ,Beloit College,187,,,Curriculum,,Environmental Studies & Sciences,Biological Sciences (includes Ecology),,,,,,,Baccalaureate degree,,,,,,https://www.beloit.edu/environmental/
Environmental Chemistry (Bachelor),The environmental chemistry major provides an understanding of the chemical sciences with a focus on environmental processes and human interactions with these processes. ,Beloit College,187,,,Curriculum,,Environmental Studies & Sciences,,,green chemistry,,,,,Baccalaureate degree,,,,,,https://www.beloit.edu/environmental/
Environmental Studies (Bachelor),"The environmental studies major provides an interdisciplinary approach to the study of interactions between humans and the environment. It is organized into two tracks: “Environmental Communication and Arts” is oriented to the arts and humanities; “Environmental Justice and Citizenship” has a social-science focus. Both tracks include introductory courses in the arts and humanities, the social sciences and the natural sciences. Core environmental courses, selected for their appropriateness to the student’s interests and proclivities in humanistic or social-scientific environmental study, introduce the interdisciplinary study of environmental issues. ",Beloit College,187,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,https://www.beloit.edu/environmental/
Environmental Studies Minor,"The environmental studies minor offers the opportunity to study environmentally related topics in economics, political science, natural science, philosophy, and environmental studies courses. ",Beloit College,187,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Minor,,,,,,https://www.beloit.edu/environmental/
Environmental Studies Bachelor,"The program brings together a community of scholars and students engaged in the study of the human relationship to the environment from many different directions, across 24 departments on our campus. The ten core faculty members and forty affiliated faculty colleagues together offer an interdisciplinary major and minor. Both foster in students a shared base of knowledge across the humanities, natural sciences, and social sciences.",Middlebury college,532,,,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,,,Baccalaureate degree,,,,,,http://www.middlebury.edu/academics/es
International Environmental Policy (MA),"Monterey Institute's MA in International Environmental Policy program prepares the next generation of leaders in governments, international organizations, and private businesses. The program creates courses that address the latest international trends and practices what they preach through the sustainable campus movement. Students have the opportunity to pursue one of three specializations: Energy and Climate Change, Business, Sustainability, and Development; and Natural Resource Policy and Management. ",Middlebury college,532,,,Curriculum,,Environmental Studies & Sciences,International & Global Studies,,international,,,,,Master's Degree,,,,,,http://www.middlebury.edu/international/Middlebury-Monterey/dualdegree/MAIEP
Environmental Sciences - Environmental Administration & Policy (BS),The environmental sciences degree uses a set of science core courses and a concentration in a natural science or social science discipline to help students develop a science-based approach to the environment and sustainability. ,Northern Arizona University,567,,,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,,,Baccalaureate degree,,,,,,http://catalog.nau.edu/Catalog/details?plan=ENVSCBS&catalogYear=1415
